
  Migration name  Batch / Status  
  2025_11_24_000000_create_branches_table  [1] Ran  
  2025_11_24_000001_create_users_table  [1] Ran  
  2025_11_24_000002_create_personal_access_tokens_table  [1] Ran  
  2025_11_25_113352_create_cache_table  [1] Ran  
  2025_11_26_114431__create_customers_table  [1] Ran  
  2025_11_26_131023_create_pledges_table  [1] Ran  
  2025_11_26_230047__create_loans_table  [1] Ran  
  2025_11_26_234433__create_jewels_table  [1] Ran  
  2025_12_02_130621_create_permission_tables  [1] Ran  
  2025_12_02_131650__create_media_files_table  [1] Ran  
  2025_12_13_000001_create_jewel_types_table  [1] Ran  
  2025_12_13_000002_create_jewel_qualities_table  [1] Ran  
  2025_12_13_000003_create_jewel_names_table  [1] Ran  
  2025_12_15_010521_create_tasks_table  [1] Ran  
  2025_12_15_012723_add_created_by_to_tasks_table  [1] Ran  
  2025_12_15_095320_create_metal_rates_table  [1] Ran  
  2025_12_15_102500_add_branch_id_to_tasks_table  [1] Ran  
  2025_12_15_120000_create_money_sources_table  [1] Ran  
  2025_12_15_121000_create_branch_money_sources_table  [1] Ran  
  2025_12_15_210029_create_repledge_tables  [1] Ran  
  2025_12_15_234916_create_interest_rates_table  [1] Ran  
  2025_12_15_234916_create_loan_validities_table  [1] Ran  
  2025_12_15_234916_create_payment_methods_table  [1] Ran  
  2025_12_16_001149_create_jewel_type_loan_validity_table  [1] Ran  
  2025_12_16_002101_add_jewel_type_id_to_loan_validities_table  [1] Ran  
  2025_12_16_003334_add_jewel_type_id_to_interest_rates_table  [1] Ran  
  2025_12_16_004000_add_estimation_percentage_to_interest_rates_table  [1] Ran  
  2025_12_16_033049_create_processing_fees_table  [1] Ran  
  2025_12_16_041729_add_metal_rate_to_loans_table  [1] Ran  
  2025_12_16_052645_make_branch_id_nullable_in_processing_fees  [1] Ran  
  2025_12_17_133503_make_branch_id_nullable_in_repledge_banks_table  [1] Ran  
  2025_12_17_135413_create_branch_repledge_banks_table  [1] Ran  
  2025_12_17_143708_remove_branch_id_from_repledge_banks_table  [1] Ran  
  2025_12_17_145102_rename_repledge_banks_to_repledge_sources  [1] Ran  
  2025_12_17_153016_create_money_source_types_table  [1] Ran  
  2025_12_17_221610_add_indexes_to_customers_table  [1] Ran  
  2025_12_18_001957_add_payment_method_to_repledge_sources_table  [1] Ran  
  2025_12_18_011851_modify_repledge_sources_code_to_description  [1] Ran  
  2025_12_18_035937_create_transactions_table  [1] Ran  
  2025_12_18_052223_create_transaction_categories_table  [1] Ran  
  2025_12_18_054142_modify_transaction_categories_table_structure  [1] Ran  
  2025_12_20_154242_staff_time_restrictions_table  [1] Ran  
  2025_12_20_163836_add_login_times_to_users_table  [1] Ran  
  2025_12_22_202635_update_loans_status_enum  [2] Ran  
  2025_12_22_205531_add_overdue_status_to_pledges_table  [3] Ran  
  2025_12_25_000000_make_assigned_to_nullable_in_tasks_table  [7] Ran  
  2025_12_25_133852_create_pledge_closures_table  [4] Ran  
  2025_12_25_135111_update_pledge_status_enum  [5] Ran  
  2025_12_25_135856_add_metal_rate_to_pledge_closures_table  [6] Ran  
  2025_12_25_152525_make_assigned_to_nullable_in_tasks_table  [7] Ran  
  2025_12_27_100419_create_loan_schemes_table  [8] Ran  
  2025_12_27_100426_create_repledge_closures_table  [8] Ran  
  2025_12_29_221934_create_sessions_table  [9] Ran  

